id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
137;32;JAWA BARAT;3209;KABUPATEN CIREBON;BELUM KAWIN;936006;JIWA;2014
138;32;JAWA BARAT;3209;KABUPATEN CIREBON;KAWIN;1021591;JIWA;2014
139;32;JAWA BARAT;3209;KABUPATEN CIREBON;CERAI HIDUP;24745;JIWA;2014
140;32;JAWA BARAT;3209;KABUPATEN CIREBON;CERAI MATI;73438;JIWA;2014
141;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;BELUM KAWIN;520542;JIWA;2014
142;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KAWIN;652140;JIWA;2014
143;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;CERAI HIDUP;22064;JIWA;2014
144;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;CERAI MATI;44879;JIWA;2014
145;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;BELUM KAWIN;441726;JIWA;2014
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;KAWIN;603796;JIWA;2014
147;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;CERAI HIDUP;17042;JIWA;2014
148;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;CERAI MATI;38782;JIWA;2014
149;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;BELUM KAWIN;700414;JIWA;2014
150;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;KAWIN;1001646;JIWA;2014
151;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;CERAI HIDUP;22099;JIWA;2014
152;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;CERAI MATI;99598;JIWA;2014
153;32;JAWA BARAT;3213;KABUPATEN SUBANG;BELUM KAWIN;622193;JIWA;2014
154;32;JAWA BARAT;3213;KABUPATEN SUBANG;KAWIN;834657;JIWA;2014
155;32;JAWA BARAT;3213;KABUPATEN SUBANG;CERAI HIDUP;29282;JIWA;2014
156;32;JAWA BARAT;3213;KABUPATEN SUBANG;CERAI MATI;52988;JIWA;2014
157;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;BELUM KAWIN;381760;JIWA;2014
158;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;KAWIN;424894;JIWA;2014
159;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI HIDUP;12806;JIWA;2014
160;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI MATI;34677;JIWA;2014
161;32;JAWA BARAT;3215;KABUPATEN KARAWANG;BELUM KAWIN;799426;JIWA;2014
162;32;JAWA BARAT;3215;KABUPATEN KARAWANG;KAWIN;1017099;JIWA;2014
163;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI HIDUP;24913;JIWA;2014
164;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI MATI;61677;JIWA;2014
165;32;JAWA BARAT;3216;KABUPATEN BEKASI;BELUM KAWIN;1184784;JIWA;2014
166;32;JAWA BARAT;3216;KABUPATEN BEKASI;KAWIN;1226173;JIWA;2014
167;32;JAWA BARAT;3216;KABUPATEN BEKASI;CERAI HIDUP;19860;JIWA;2014
168;32;JAWA BARAT;3216;KABUPATEN BEKASI;CERAI MATI;53661;JIWA;2014
169;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;BELUM KAWIN;706743;JIWA;2014
170;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;KAWIN;782424;JIWA;2014
171;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;CERAI HIDUP;32214;JIWA;2014
172;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;CERAI MATI;29237;JIWA;2014
173;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;BELUM KAWIN;154446;JIWA;2014
174;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;KAWIN;221177;JIWA;2014
175;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;CERAI HIDUP;6055;JIWA;2014
176;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;CERAI MATI;16925;JIWA;2014
177;32;JAWA BARAT;3271;KOTA BOGOR;BELUM KAWIN;464123;JIWA;2014
178;32;JAWA BARAT;3271;KOTA BOGOR;KAWIN;474031;JIWA;2014
179;32;JAWA BARAT;3271;KOTA BOGOR;CERAI HIDUP;20990;JIWA;2014
180;32;JAWA BARAT;3271;KOTA BOGOR;CERAI MATI;24012;JIWA;2014
181;32;JAWA BARAT;3272;KOTA SUKABUMI;BELUM KAWIN;152835;JIWA;2014
182;32;JAWA BARAT;3272;KOTA SUKABUMI;KAWIN;148253;JIWA;2014
183;32;JAWA BARAT;3272;KOTA SUKABUMI;CERAI HIDUP;6616;JIWA;2014
184;32;JAWA BARAT;3272;KOTA SUKABUMI;CERAI MATI;13450;JIWA;2014
185;32;JAWA BARAT;3273;KOTA BANDUNG;BELUM KAWIN;1108435;JIWA;2014
186;32;JAWA BARAT;3273;KOTA BANDUNG;KAWIN;1119882;JIWA;2014
187;32;JAWA BARAT;3273;KOTA BANDUNG;CERAI HIDUP;26712;JIWA;2014
188;32;JAWA BARAT;3273;KOTA BANDUNG;CERAI MATI;86068;JIWA;2014
189;32;JAWA BARAT;3274;KOTA CIREBON;BELUM KAWIN;152659;JIWA;2014
190;32;JAWA BARAT;3274;KOTA CIREBON;KAWIN;144909;JIWA;2014
191;32;JAWA BARAT;3274;KOTA CIREBON;CERAI HIDUP;5156;JIWA;2014
192;32;JAWA BARAT;3274;KOTA CIREBON;CERAI MATI;15545;JIWA;2014
193;32;JAWA BARAT;3275;KOTA BEKASI;BELUM KAWIN;1200963;JIWA;2014
194;32;JAWA BARAT;3275;KOTA BEKASI;KAWIN;1123486;JIWA;2014
195;32;JAWA BARAT;3275;KOTA BEKASI;CERAI HIDUP;11708;JIWA;2014
196;32;JAWA BARAT;3275;KOTA BEKASI;CERAI MATI;46532;JIWA;2014
197;32;JAWA BARAT;3276;KOTA DEPOK;BELUM KAWIN;796987;JIWA;2014
198;32;JAWA BARAT;3276;KOTA DEPOK;KAWIN;775423;JIWA;2014
199;32;JAWA BARAT;3276;KOTA DEPOK;CERAI HIDUP;9608;JIWA;2014
