id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
153,32,JAWA BARAT,3276,KOTA DEPOK,BALITA KURUS,,ORANG,2020
154,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA GIZI KURANG,2491.0,ORANG,2020
155,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA PENDEK,,ORANG,2020
156,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA KURUS,,ORANG,2020
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA GIZI KURANG,3738.0,ORANG,2020
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA PENDEK,,ORANG,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA KURUS,,ORANG,2020
160,32,JAWA BARAT,3279,KOTA BANJAR,BALITA GIZI KURANG,1086.0,ORANG,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,BALITA PENDEK,,ORANG,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,BALITA KURUS,,ORANG,2020
